date,low,average,high
2021-04-15T11:36:28.716774,84,97,105
2021-04-15T11:37:09.417631,85,105,114
2021-04-15T11:37:48.809133,85,105,114
2021-04-15T11:38:28.674440,84,87,105
2021-04-15T11:39:08.635515,84,94,105
2021-04-15T11:39:48.431360,84,99,105
2021-04-15T11:40:29.200753,84,93,103
2021-04-15T11:41:08.935005,84,99,119
2021-04-15T11:41:48.542741,84,94,99
2021-04-15T11:42:28.170532,84,90,103
2021-04-15T11:43:08.582829,84,95,104
2021-04-15T11:43:49.063971,84,90,103
2021-04-15T11:44:29.275073,84,100,105
2021-04-15T11:45:09.123688,84,95,98
2021-04-15T11:45:49.045837,84,97,104
2021-04-15T11:46:29.105106,84,96,104
2021-04-15T11:47:09.129991,84,102,107
2021-04-15T11:47:48.821122,84,92,104
2021-04-15T11:48:28.681653,84,97,104
2021-04-15T11:49:09.355893,84,89,94
2021-04-15T11:49:48.295738,84,89,104
2021-04-15T11:50:29.300701,84,94,104
2021-04-15T11:51:09.571107,84,89,104
2021-04-15T11:51:49.381445,84,91,103
2021-04-15T11:52:28.151352,86,87,103
2021-04-15T11:53:08.555185,84,95,103
2021-04-15T11:53:48.714420,83,93,103
2021-04-15T11:54:29.327415,83,100,121
2021-04-15T11:55:09.830736,83,94,103
2021-04-15T11:55:49.070538,83,96,121
2021-04-15T11:56:28.609594,83,95,103
2021-04-15T11:57:08.895525,83,90,104
2021-04-15T11:57:48.742415,83,91,104
2021-04-15T11:58:28.627041,83,87,104
2021-04-15T11:59:08.647742,83,94,104
2021-04-15T11:59:49.863831,83,95,104
2021-04-15T12:00:28.816098,83,92,104
2021-04-15T12:01:09.646859,83,87,90
2021-04-15T12:01:48.279522,83,87,105
2021-04-15T12:02:29.209801,83,87,105
2021-04-15T12:03:19.735585,83,88,105
2021-04-15T12:03:48.304804,83,90,105
2021-04-15T12:04:28.524093,83,87,89
2021-04-15T12:05:09.111321,83,86,89
2021-04-15T12:05:49.068373,86,86,105
2021-04-15T12:06:29.897839,85,88,105
2021-04-15T12:07:08.940499,85,88,105
2021-04-15T12:07:48.466405,83,94,105
2021-04-15T12:08:28.394523,83,95,105
2021-04-15T12:09:08.706265,83,94,105
2021-04-15T12:09:48.712795,82,89,105
2021-04-15T12:11:10.726608,82,83,86
2021-04-15T12:11:13.175240,82,83,86
2021-04-15T12:11:48.947684,82,90,105
2021-04-15T12:12:28.124895,80,94,105
2021-04-15T12:13:08.847022,80,82,94
2021-04-15T12:13:48.788020,80,82,104
2021-04-15T12:14:30.065940,79,87,104
2021-04-15T12:15:09.006694,74,80,105
2021-04-15T12:15:49.887063,72,87,99
2021-04-15T12:16:29.301839,72,92,105
2021-04-15T12:17:09.083710,72,76,84
2021-04-15T12:17:48.573226,72,83,105
2021-04-15T12:18:28.074009,72,85,105
2021-04-15T12:19:09.119026,72,79,96
2021-04-15T12:19:48.415052,72,76,90
2021-04-15T12:20:28.052873,72,77,100
2021-04-15T12:21:08.510019,72,78,100
2021-04-15T12:21:48.939850,72,75,100
2021-04-15T12:23:06.179364,72,76,90
2021-04-15T12:23:08.479223,72,76,90
2021-04-15T12:23:48.926664,72,75,88
2021-04-15T12:24:30.323027,72,75,100
2021-04-15T12:25:08.436388,72,77,100
2021-04-15T12:25:48.281491,72,75,96
2021-04-15T12:26:28.894489,72,76,96
2021-04-15T12:27:09.856178,72,75,96
2021-04-15T12:27:48.271393,70,81,96
2021-04-15T12:28:30.076805,69,82,100
2021-04-15T12:29:09.632855,69,77,94
2021-04-15T12:29:48.778492,69,73,77
2021-04-15T12:30:28.441105,69,75,77
2021-04-15T12:31:03.085423,69,76,87
2021-04-15T12:31:39.881985,69,87,94
2021-04-15T12:32:17.118462,69,75,94
2021-04-15T12:32:57.880260,69,84,105
2021-04-15T12:33:37.439518,69,72,105
2021-04-15T12:34:16.582355,70,90,105
2021-04-15T12:34:57.106725,60,71,94
2021-04-15T12:35:37.599977,60,70,94
2021-04-15T12:36:16.439680,60,78,94
2021-04-15T12:36:57.224786,60,82,94
2021-04-15T12:37:36.215462,60,82,94
2021-04-15T12:38:16.691589,60,75,80
2021-04-15T12:38:56.786162,60,71,96
2021-04-15T12:39:37.206509,60,70,72
2021-04-15T12:40:17.350896,60,71,96
2021-04-15T12:40:57.169460,60,79,92
2021-04-15T12:41:36.768274,60,70,71
2021-04-15T12:42:17.161811,60,74,86
2021-04-15T12:42:56.458392,60,79,91
2021-04-15T12:43:36.595930,60,70,91
2021-04-15T12:44:17.768030,60,76,91
2021-04-15T12:44:57.796230,62,84,91
2021-04-15T12:45:36.769030,60,74,91
2021-04-15T12:46:17.078261,69,75,90
2021-04-15T12:46:56.274451,67,67,71
2021-04-15T12:47:37.442200,67,67,70
2021-04-15T12:48:16.628850,68,74,84
2021-04-15T12:48:57.994918,68,70,77
2021-04-15T12:49:36.563799,68,70,84
2021-04-15T12:50:46.698978,67,67,88
2021-04-15T12:50:57.427551,67,67,88
2021-04-15T12:51:37.283123,67,74,88
2021-04-15T12:52:16.745676,67,74,88
2021-04-15T12:52:56.667259,67,68,80
2021-04-15T12:53:37.779312,67,68,80
2021-04-15T12:54:16.376228,67,75,88
2021-04-15T12:54:56.646044,67,68,79
2021-04-15T12:55:36.781092,67,68,82
2021-04-15T12:56:17.430282,67,68,82
2021-04-15T12:56:56.864711,67,68,82
2021-04-15T12:57:37.735429,67,68,82
2021-04-15T12:58:17.255326,67,67,69
2021-04-15T12:58:57.293827,67,68,88
2021-04-15T12:59:36.783071,67,68,75
2021-04-15T13:00:16.536349,67,68,75
2021-04-15T13:00:57.084479,67,68,77
2021-04-15T13:01:36.642233,67,68,75
2021-04-15T13:02:16.055357,66,66,68
2021-04-15T13:02:56.865679,67,73,88
2021-04-15T13:03:36.371641,67,68,69
2021-04-15T13:05:05.098666,66,68,75
2021-04-15T13:05:08.554404,66,68,75
2021-04-15T13:05:36.504669,66,68,75
2021-04-15T13:06:15.964794,66,68,74
2021-04-15T13:06:57.140133,66,67,68
2021-04-15T13:07:36.343433,66,67,68
2021-04-15T13:08:18.030018,66,67,74
2021-04-15T13:08:56.786424,65,68,75
2021-04-15T13:09:36.398971,65,72,82
2021-04-15T13:10:16.326416,65,68,75
2021-04-15T13:10:57.119070,65,66,74
2021-04-15T13:11:37.183134,65,66,74
2021-04-15T13:12:17.145068,65,65,68
2021-04-15T13:12:56.797213,65,65,68
2021-04-15T13:13:36.776862,65,65,68
2021-04-15T13:14:16.446313,65,65,68
2021-04-15T13:14:57.211434,65,66,68
2021-04-15T13:15:36.625714,65,66,68
2021-04-15T13:16:18.234446,65,68,75
2021-04-15T13:16:56.688389,65,72,82
2021-04-15T13:17:38.171821,65,68,72
2021-04-15T13:18:16.841223,65,68,82
2021-04-15T13:18:56.689725,65,66,81
2021-04-15T13:19:36.572403,65,67,81
2021-04-15T13:20:16.902782,65,65,75
2021-04-15T13:20:56.602789,65,65,68
2021-04-15T13:21:36.863605,65,68,81
2021-04-15T13:22:16.604976,65,69,81
2021-04-15T13:22:57.203017,65,71,81
2021-04-15T13:23:37.097931,65,70,79
2021-04-15T13:24:16.341932,64,72,81
2021-04-15T13:24:56.289825,64,75,81
2021-04-15T13:25:36.979440,62,75,81
2021-04-15T13:26:17.958669,62,71,81
2021-04-15T13:26:57.092913,62,74,81
2021-04-15T13:27:37.152890,62,70,81
2021-04-15T13:28:18.391202,62,71,77
2021-04-15T13:28:56.446481,62,70,77
2021-04-15T13:29:36.565001,62,68,77
2021-04-15T13:30:16.509132,62,62,68
2021-04-15T13:30:56.481803,62,63,77
2021-04-15T13:31:36.930568,62,68,72
2021-04-15T13:32:17.047451,62,70,77
2021-04-15T13:32:56.158766,62,67,77
2021-04-15T13:33:37.141290,62,67,77
2021-04-15T13:34:16.596020,62,65,77
2021-04-15T13:34:57.665374,62,69,76
2021-04-15T13:35:36.020884,62,68,77
2021-04-15T13:36:16.432110,62,69,77
2021-04-15T13:36:56.353238,62,67,69
2021-04-15T13:37:37.186010,62,69,74
2021-04-15T13:38:16.566510,62,68,69
2021-04-15T13:38:57.819217,62,67,76
2021-04-15T13:39:37.451051,62,68,76
2021-04-15T13:41:05.778121,62,69,76
2021-04-15T13:41:07.569624,62,69,76
2021-04-15T13:41:37.434002,62,65,68
2021-04-15T13:42:16.828441,62,70,77
2021-04-15T13:42:56.546146,63,67,77
2021-04-15T13:43:37.320633,63,65,77
2021-04-15T13:44:16.248212,63,65,77
2021-04-15T13:44:57.086895,63,69,77
2021-04-15T13:45:36.979739,63,65,67
2021-04-15T13:46:16.512789,63,67,74
2021-04-15T13:46:57.030043,63,69,78
2021-04-15T13:47:37.606307,62,69,78
2021-04-15T13:48:17.176663,62,65,79
2021-04-15T13:48:57.049234,62,67,79
2021-04-15T13:49:36.999429,62,68,79
2021-04-15T13:50:16.730674,62,68,79
2021-04-15T13:50:56.890590,62,64,79
2021-04-15T13:51:36.985292,62,63,79
2021-04-15T13:52:42.598870,62,62,68
2021-04-15T13:52:57.298690,62,62,68
2021-04-15T13:53:36.914832,62,64,79
2021-04-15T13:55:05.984941,62,62,79
2021-04-15T13:55:08.582973,62,62,79
2021-04-15T13:55:36.947610,50,62,68
2021-04-15T13:56:16.576272,50,64,79
2021-04-15T13:56:56.365902,50,63,79
2021-04-15T13:57:37.212389,50,62,63
2021-04-15T13:58:16.199258,50,62,69
2021-04-15T13:58:56.638540,50,62,79
2021-04-15T13:59:37.182851,50,62,79
2021-04-15T14:00:18.334702,50,65,79
2021-04-15T14:00:56.889444,50,73,79
2021-04-15T14:01:37.155310,50,63,79
2021-04-15T14:03:05.899394,50,71,79
2021-04-15T14:03:07.794374,50,71,79
2021-04-15T14:03:36.668162,50,71,79
2021-04-15T14:04:16.679214,50,71,79
2021-04-15T14:04:57.154096,50,72,79
2021-04-15T14:05:36.125497,50,72,79
2021-04-15T14:06:16.958346,50,76,80
2021-04-15T14:06:57.070873,50,79,83
2021-04-15T14:07:36.167183,62,80,88
2021-04-15T14:08:16.673710,63,83,120
2021-04-15T14:08:56.723921,67,87,105
2021-04-15T14:09:36.942492,68,88,120
2021-04-15T14:11:09.260109,73,93,120
2021-04-15T14:11:12.868914,74,94,120
2021-04-15T14:11:37.829048,74,94,120
2021-04-15T14:12:16.537530,76,96,120
2021-04-15T14:12:57.021595,76,96,120
2021-04-15T14:13:37.036458,80,100,120
2021-04-15T14:14:16.445121,81,103,120
2021-04-15T14:14:57.423477,81,103,120
2021-04-15T14:15:36.279902,81,103,120
2021-04-15T14:16:16.838599,85,112,123
2021-04-15T14:16:57.651671,85,114,123
2021-04-15T14:17:37.841316,89,118,130
2021-04-15T14:18:17.656177,89,118,130
2021-04-15T14:18:56.570735,89,118,130
2021-04-15T14:19:36.752395,89,118,130
2021-04-15T14:20:16.961708,89,118,130
2021-04-15T14:20:56.948929,89,118,130
2021-04-15T14:21:36.885614,89,118,130
2021-04-15T14:22:16.745435,89,118,130
2021-04-15T14:22:56.026677,99,132,144
2021-04-15T14:23:37.425810,99,135,144
2021-04-15T14:24:17.543788,99,135,144
2021-04-15T14:24:56.126802,99,135,144
2021-04-15T14:25:36.465226,99,135,144
2021-04-15T14:26:16.630657,99,135,144
2021-04-15T14:26:56.475407,99,135,144
2021-04-15T14:27:36.492873,99,135,144
2021-04-15T14:28:16.591186,99,135,144
2021-04-15T14:28:56.822589,99,135,144
2021-04-15T14:29:36.603209,99,135,144
2021-04-15T14:30:16.539571,99,135,144
2021-04-15T14:30:56.323671,99,135,144
2021-04-15T14:31:36.233023,99,135,144
2021-04-15T14:32:16.419376,99,135,144
2021-04-15T14:32:56.693153,99,135,144
2021-04-15T14:33:36.134350,99,135,144
2021-04-15T14:34:17.003913,99,135,144
2021-04-15T14:34:56.248753,99,135,144
2021-04-15T14:35:36.338091,99,135,144
2021-04-15T14:36:16.464859,99,135,144
2021-04-15T14:36:57.055878,99,135,144
2021-04-15T22:02:48.802691,68,70,72
2021-04-15T22:03:23.766585,67,70,78
2021-04-15T22:04:04.190870,67,72,77
2021-04-15T22:04:44.356643,67,70,73
2021-04-15T22:05:24.568363,67,71,77
2021-04-15T22:06:03.749106,68,70,71
2021-04-15T22:06:44.665638,68,77,105
2021-04-15T22:07:25.012936,68,70,72
2021-04-15T23:39:48.525977,80,91,96
2021-04-15T23:40:23.150303,80,91,96
2021-04-15T23:41:03.167853,80,88,97
2021-04-15T23:52:11.724179,87,95,99
2021-04-15T23:52:18.387021,87,96,102
2021-04-16T00:11:26.860943,87,96,102
2021-04-16T00:11:36.567742,90,105,113
2021-04-16T00:11:51.899081,90,105,113
2021-04-16T00:11:58.204653,93,113,125
2021-04-16T00:12:02.427203,93,113,125
2021-04-16T00:12:06.771913,93,113,125
2021-04-16T00:12:11.195461,93,113,125
2021-04-16T00:12:16.248916,93,113,125
2021-04-16T00:12:22.335872,93,113,125
2021-04-16T00:12:27.692441,90,108,114
2021-04-16T00:12:33.275546,90,108,114
2021-04-16T00:12:37.379928,90,108,114
2021-04-16T00:12:41.466529,90,108,114
2021-04-16T00:12:46.001653,90,108,114
2021-04-16T00:12:50.220667,90,108,114
2021-04-16T00:12:54.824890,90,108,114
2021-04-16T00:12:59.920633,90,108,114
2021-04-16T00:13:04.010166,90,108,114
2021-04-16T00:13:08.377279,90,108,115
2021-04-16T00:13:12.504493,90,108,115
2021-04-16T00:13:16.602772,90,108,115
2021-04-16T00:13:20.783414,90,108,115
2021-04-16T00:13:25.657246,90,108,115
2021-04-16T00:13:30.915924,90,108,115
2021-04-16T00:13:35.025274,90,108,115
2021-04-16T00:13:40.517801,91,111,115
2021-04-16T00:13:44.819846,91,111,115
2021-04-16T00:13:49.688541,91,111,115
2021-04-16T00:13:55.211878,91,111,115
2021-04-16T00:13:59.298934,91,111,115
2021-04-16T00:14:03.397798,91,111,115
2021-04-16T00:14:08.487089,91,111,115
2021-04-16T00:14:13.599828,92,108,116
2021-04-16T00:14:18.098887,92,108,116
2021-04-16T00:14:23.182751,92,108,116
2021-04-16T00:14:27.255879,92,108,116
2021-04-16T00:14:30.980310,92,108,116
2021-04-16T00:14:35.060190,92,108,116
2021-04-16T00:14:40.229469,92,108,116
2021-04-16T00:14:44.322171,92,108,116
2021-04-16T00:14:48.421753,92,108,116
2021-04-16T00:25:14.114145,92,108,116
2021-04-16T00:25:21.598567,99,99,109
2021-04-16T00:25:26.465275,99,99,109
2021-04-16T00:25:38.185553,99,99,109
2021-04-16T00:25:43.070146,99,99,109
2021-04-16T00:25:47.260410,99,99,109
2021-04-16T00:25:51.850670,98,108,114
2021-04-16T00:25:57.422733,98,108,114
2021-04-16T00:26:01.504007,98,108,114
2021-04-16T08:45:00.344477,98,108,114
2021-04-16T08:46:11.985463,104,119,166
2021-04-16T08:47:09.113154,100,118,165
2021-04-16T08:47:56.334318,100,119,165
2021-04-16T08:48:32.601091,100,105,119
2021-04-16T08:49:07.111005,110,130,132
2021-04-16T08:49:41.777963,110,130,132
2021-04-16T08:50:15.788351,100,112,132
2021-04-16T08:50:22.743859,100,112,132
2021-04-16T08:50:34.124904,100,108,120
2021-04-16T08:50:40.104162,100,108,120
2021-04-16T08:50:44.526877,100,108,120
2021-04-16T08:50:48.659432,100,108,120
2021-04-16T08:50:52.997562,100,108,120
